datetime;open;high;low;close;volume
2021-04-09;252.95821;254.78000;252.44000;254.20000;3430639
2021-04-08;252.77000;254.14000;252.00000;253.25000;23607200
2021-04-07;247.81000;250.92999;247.19000;249.89999;22709200
2021-04-06;247.61000;249.39999;246.88000;247.86000;22685700
2021-04-05;242.75999;249.96001;242.70000;249.07001;35819271
2021-04-01;238.47000;242.84000;238.05000;242.35001;30312000
2021-03-31;232.91000;239.10001;232.39000;235.77000;43564500
2021-03-30;233.53000;233.85001;231.10001;231.85001;24770100
2021-03-29;236.72000;236.80000;231.88000;235.27000;19092243
2021-03-26;231.55000;236.71001;231.55000;236.48000;25471700
2021-03-25;235.30000;236.94000;231.57001;232.34000;34017700
2021-03-24;237.84500;238.00000;235.33000;235.46001;25620127
2021-03-23;237.49001;241.05000;237.07001;237.58000;31616500
2021-03-22;230.27000;236.89999;230.14000;235.99001;30127005
2021-03-19;231.02000;232.47000;229.35001;230.35001;46410700
2021-03-18;232.56000;234.19000;230.33000;230.72000;34833000
2021-03-17;236.14999;238.55000;233.23000;237.03999;29500700
2021-03-16;236.28000;240.06000;235.94000;237.71001;27717700
2021-03-15;234.96001;235.18500;231.82001;234.81000;26042669
2021-03-12;234.00999;235.82001;233.23000;235.75000;22647900
2021-03-11;234.96001;239.17000;234.31000;237.13000;29896000
2021-03-10;237.00000;237.00000;232.03999;232.42000;29733000
2021-03-09;232.88000;235.38000;231.67000;233.78000;33034000
2021-03-08;231.37000;233.36501;227.13000;227.39000;35267440
2021-03-05;229.52000;233.27000;226.46001;231.60001;41842100
2021-03-04;226.74001;232.49001;224.25999;226.73000;44584200
2021-03-03;232.16000;233.58000;227.25999;227.56000;33950400
2021-03-02;237.00999;237.30000;233.45000;233.87000;22785500
2021-03-01;235.89999;237.47000;233.17000;236.94000;25332837
2021-02-26;231.53000;235.37000;229.53999;232.38000;37811200
2021-02-25;232.08000;234.59000;227.88000;228.99001;39481600
2021-02-24;230.00999;235.20000;229.00000;234.55000;26301400
2021-02-23;230.33000;234.83000;228.73000;233.27000;30191200
2021-02-22;237.42000;237.92000;232.39999;234.50999;36446936
2021-02-19;243.86000;243.86000;240.17999;241.03000;21329361
2021-02-18;241.80000;243.92999;240.86000;243.78999;16910900
2021-02-17;241.32001;244.31000;240.94000;244.20000;21653500
2021-02-16;245.03000;246.13000;242.92000;243.70000;26728487
2021-02-12;243.92999;245.30000;242.73000;244.99001;16552000
2021-02-11;244.78000;245.14999;242.14999;244.49001;15742200
2021-02-10;245.00000;245.92000;240.89999;242.82001;20840040
2021-02-09;241.87000;244.75999;241.38000;243.77000;22105128
2021-02-08;243.14999;243.67999;240.81000;242.47000;22211929
2021-02-05;242.23000;243.28000;240.42000;242.20000;18043900
2021-02-04;242.66600;243.20000;240.37000;241.50999;19262353
2021-02-03;239.57001;245.09000;239.25999;243.00000;27158104
2021-02-02;241.30000;242.31000;238.70000;239.50999;25916337
2021-02-01;235.06000;242.50000;232.46001;239.64999;33314193
2021-01-29;235.99001;238.01500;231.36000;231.96001;40004239
2021-01-28;235.61000;242.64000;235.09000;238.92999;48990000
2021-01-27;238.00000;240.44000;230.14000;232.89999;69757500
2021-01-26;231.86000;234.17999;230.08000;232.33000;48699200
2021-01-25;229.12000;229.78000;224.22000;229.53000;33152095
2021-01-22;227.08000;230.07001;225.80000;225.95000;30124900
2021-01-21;224.70000;226.30000;222.42000;224.97000;30709400
2021-01-20;217.70000;225.78999;217.28999;224.34000;37751500
2021-01-19;213.75000;216.97000;212.63000;216.44000;30480859
2021-01-15;213.52000;214.50999;212.03000;212.64999;31691500
2021-01-14;215.91000;217.46001;212.74001;213.02000;29480800
2021-01-13;214.02000;216.75999;213.92999;216.34000;20049900
2021-01-12;216.50000;217.10001;213.32001;214.92999;23226800
2021-01-11;218.47000;218.91000;216.74001;217.49001;23047029
2021-01-08;218.67999;220.58000;217.03000;219.62000;22949400
2021-01-07;214.03999;219.34000;213.71001;218.28999;27671000
2021-01-06;212.17000;216.49001;211.94000;212.25000;35883400
2021-01-05;217.25999;218.52000;215.70000;217.89999;23800200
2021-01-04;222.53000;223.00000;214.81000;217.69000;37130139
2020-12-31;221.70000;223.00000;219.67999;222.42000;20926900
2020-12-30;225.23000;225.63000;221.47000;221.67999;20254900
2020-12-29;226.31000;227.17999;223.58000;224.14999;17348000
2020-12-28;224.45000;226.03000;223.02000;224.96001;17522554
2020-12-24;221.42000;223.61000;221.20000;222.75000;10550600
2020-12-23;223.11000;223.56000;220.80000;221.02000;18693300
2020-12-22;222.69000;225.63000;221.85001;223.94000;22612200
2020-12-21;217.55000;224.00000;217.28011;222.59000;33458972
2020-12-18;218.64920;219.69000;216.03000;218.14999;31840778
2020-12-17;219.85001;220.89000;217.92000;219.42000;23911229
2020-12-16;214.75000;220.11000;214.72000;219.28000;35003800
2020-12-15;215.16499;215.39999;212.24001;214.16000;19750428
2020-12-14;213.10001;216.20950;212.88570;214.20000;27113407
2020-12-11;210.14500;213.32001;209.12000;213.27000;24990849
2020-12-10;211.77000;213.08000;210.36000;210.52000;26733300
2020-12-09;215.16000;215.23000;211.21001;211.80000;32415800
2020-12-08;214.85001;216.95000;212.89000;215.99001;17885292
2020-12-07;214.37000;215.53999;212.99001;214.28999;24612529
2020-12-04;214.06000;215.38000;213.18010;214.39999;19401788
2020-12-03;214.61000;216.38000;213.64999;214.24001;25096300
2020-12-02;214.88000;215.47000;212.80000;215.37000;23711600
2020-12-01;214.50999;217.32001;213.35001;216.21001;30904500
2020-11-30;214.10001;214.75999;210.84000;214.07001;33064753
2020-11-27;214.85001;216.27000;214.03999;215.23000;14512200
2020-11-25;215.11000;215.28999;212.46001;213.87000;20987900
2020-11-24;209.59000;214.25000;208.86000;213.86000;33909900
2020-11-23;210.95000;212.28999;208.16000;210.11000;25683507
2020-11-20;212.20000;213.28999;210.00000;210.39000;22829100
2020-11-19;211.38000;213.03000;209.92999;212.42000;24768100
2020-11-18;213.64999;215.17000;210.92999;211.08000;28340900
2020-11-17;216.10001;217.67999;214.08000;214.46001;24125100
2020-11-16;214.87000;217.74001;214.52000;217.23000;22746047
2020-11-13;216.36000;217.42000;214.16000;216.50999;15038108
